Gender,Age,Height,Weight,family_history,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS
0.0,0.19,0.74,0.325,1.0,0.0,0.6666666666666666,0.75,0.3333333333333333,0.0,1.0,0.0,0.6666666666666666,0.5,0.3333333333333333,0.25
1.0,0.4,0.6244436,0.31435897,1.0,1.0,0.9827493333333334,0.75,0.3333333333333333,0.0,0.7149555000000001,0.0,0.03988,0.1800965,0.3333333333333333,0.75
1.0,0.3796543,0.6240796,0.4,1.0,1.0,0.844535,0.317906,0.3333333333333333,0.0,0.4468455,0.0,0.43217833333333333,0.0,0.3333333333333333,0.75
1.0,0.23,0.6463416,0.40307662499999997,1.0,1.0,0.6666666666666666,0.25,0.3333333333333333,0.0,0.5,0.0,0.008714,0.0,0.0,0.5
1.0,0.20976842,0.684292,0.6570426399999999,1.0,1.0,1.0,0.75,0.3333333333333333,0.0,0.36406950000000005,0.0,0.5587563333333333,0.4531235,0.3333333333333333,0.5
1.0,0.18,0.6,0.29,0.0,1.0,0.6666666666666666,0.75,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1.0,0.22980957,0.6800864,0.40236793499999995,1.0,1.0,0.6666666666666666,0.70381375,0.3333333333333333,0.0,0.311107,0.0,0.15463033333333334,0.731332,0.0,0.5
0.0,0.17188754,0.708766,0.27847518,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.9420165,0.0,0.6666666666666666,0.6700535,0.3333333333333333,0.5
1.0,0.22989846,0.6599999999999999,0.4,1.0,1.0,0.6666666666666666,0.75,0.3333333333333333,0.0,0.5,0.0,0.048972999999999996,1.0,0.0,0.5
1.0,0.21455463000000002,0.6444,0.34053933000000003,1.0,1.0,0.6590993333333334,0.8887435,0.0,0.0,0.6089785000000001,0.0,0.32604,0.2298795,0.3333333333333333,0.5
1.0,0.21285965,0.690768,0.6566789300000001,1.0,1.0,1.0,0.75,0.3333333333333333,0.0,0.39813350000000003,0.0,0.5761106666666667,0.448962,0.3333333333333333,0.5
1.0,0.42244750000000003,0.7072924,0.37814655,1.0,1.0,1.0,0.73795925,0.3333333333333333,0.0,0.5560160000000001,0.0,0.12622766666666665,0.0,0.3333333333333333,0.75
0.0,0.18118277,0.6619028,0.4,1.0,1.0,0.940659,0.51100875,0.3333333333333333,0.0,0.477484,0.0,0.3333333333333333,0.427268,0.0,0.5
1.0,0.16240576,0.6466132,0.32531472499999997,1.0,1.0,0.796056,0.25,0.3333333333333333,0.0,0.219009,1.0,0.03696233333333333,0.5829085,0.0,0.5
1.0,0.16,0.64,0.285,0.0,1.0,1.0,0.75,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.5
1.0,0.38952866,0.6273764,0.314275365,1.0,1.0,0.6675986666666667,0.75,0.3333333333333333,0.0,0.7633875000000001,0.0,0.09039133333333334,0.4030345,0.3333333333333333,0.75
0.0,0.33,0.704,0.3325,0.0,0.0,0.6666666666666666,0.75,0.3333333333333333,0.0,0.5,0.0,1.0,0.5,0.3333333333333333,0.75
1.0,0.18166318,0.6598212,0.41161977,1.0,1.0,0.9549253333333333,0.75,0.3333333333333333,0.0,0.43845749999999994,0.0,0.2105216666666667,0.093207,0.0,0.5
0.0,0.2482929,0.7023868,0.561280825,1.0,1.0,0.45650966666666665,0.75,0.3333333333333333,0.0,0.5,0.0,0.532192,0.0013,0.3333333333333333,0.5
1.0,0.37356288,0.6237996,0.38634065,1.0,1.0,0.6666666666666666,0.75,0.3333333333333333,0.0,0.315264,0.0,0.0,0.0,0.3333333333333333,0.75
0.0,0.17,0.716,0.285,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.5,0.0,0.6666666666666666,0.5,0.0,0.5
1.0,0.24,0.648,0.29,0.0,1.0,1.0,0.75,0.3333333333333333,0.0,0.5,0.0,0.3333333333333333,0.5,0.3333333333333333,0.5
1.0,0.22978655,0.6658488,0.5723271249999999,1.0,1.0,1.0,0.75,0.3333333333333333,0.0,0.704221,0.0,0.06468533333333333,0.4015705,0.3333333333333333,0.5
